ID;Realm;Aspect of variation;Composition;Function;Structure;Biosfere level;Ecosystem level;Community level;Species level;Functional group level;Individual level;Genome level;Chromosome level;Gene level;Enzyme level;Multiscale level;data procedence;Based on red list;Based on Habitat directive;Dcoument;EBV class;EBV name;Type of organism ;Type of organism 2 ;Step in identification process;Spatial resolution unit;Temporal resolution           unit          ;Observations
Eco_CC_bio_bird_TER;Terrestrial;Composition;1;0;0;1;1;0;0;0;0;0;0;0;0;2;remote sensing (radar);0;0;NA;Community composition;Biomass of migrating birds;birds;Animal;User & Policy Needs Assessment;1x1km - 10x10km;1 day;When applying indicators such as BIOMASS we lose all fine details that may be very important for maintaining biodiversity. We wont have any taxonomic resolution for this, so it will be a very gross way to obtain data (interesting though for seing broad changes)
Eco_CC_bio_mamm_TER;Terrestrial;Composition;1;0;0;1;1;0;0;0;0;0;0;0;0;2;remote sensing (radar);0;0;NA;Community composition;Biomass of migrating bats;mammals;Animal;User & Policy Needs Assessment;1x1km - 10x10km;1 day;idem but for bats rather birds
Eco_CC_bio_inse_TER;Terrestrial;Composition;1;0;0;1;1;0;0;0;0;0;0;0;0;2;remote sensing (radar);0;0;NA;Community composition;Biomass of migrating insects;invertebrates;Animal;User & Policy Needs Assessment;1x1km - 10x10km;1 day;Here I really doubt that we can have relevant information from radar data on insects. Maybe only for highly gregarious insects (langostas) that fly in big masses but not for gather any details on most of the insect biomass. 
Eco_CC_com_micr_TER;Terrestrial;Composition;1;0;0;0;1;1;0;1;0;0;0;0;0;3;model?;0;0;NA;Community composition;Funct comp of soil biota;microbes;microbes;User & Policy Needs Assessment;1x1km - 10x10km;3 to 6 years;How the hell is this going to be measured? Edna? If this is the case what is the sampling design especially for specific sites?
Eco_EF_phe_ppla_FW;Freshwater;Function;0;1;0;1;1;0;0;0;0;0;0;0;0;2;model + remote sensing;0;0;ECRINS;Ecosystem function;Algal blooms (Freshwater );plant;Plant;User & Policy Needs Assessment;Lakes as delineated in ECRINS (European catchments and rivers network system);Real-time, weekly-monthly during the growing season;I like it. Cheap and easy because most algal blooms might be very similar in composition (same species). But maybe we will be losing information about changes on the composition of the bloom, just saying algal blooms without any differenciation. Maybe study a little of algal blooms to understand better 
Eco_EF_pro_habi_FW;Freshwater;Function;0;1;0;1;1;0;0;0;0;0;0;0;0;2;field/modeling?;0;0;EUINS;Ecosystem function;Ecosystem productivity (Freshwater );plant;Plant;Expert workshop;Catchment units (add hierarchy level) and estuarine-marine habitats (marshes, estuaries);1 year;Not done in small rivers, which will be biased. But is ok.
Eco_EF_dec_habi_FW;Freshwater;Function;0;1;0;1;1;1;0;0;0;0;0;0;0;3;field/model;0;0;NA;Ecosystem function;Rate of decomposition;Not applies;Not applies;Comments from participants of the EBV workflows- and WP4/WP5 showcases & co-design workshops;River segment, lake littoral segment, or 0.1 x 0.1 - 1 x 1 km;1-3 years;Litter diversity (litter mix) is known to be important to food web structure, but wont be measured. See Swan et al. 2021 in Zotero
Eco_EF_dtb_habi_MA;Marine;Function;0;1;0;1;1;0;0;0;0;0;0;0;0;2;remote sensing/model;0;0;Marine Strategy Framework Directive;Ecosystem function;Degree of seabed disturbance;Not applies;Not applies;Expert workshop;1x1km - 10x10km;3 to 6 years;They propose to measure intensity of disturbance, buy need to be more specific because it is not clear how they will measure it.
Eco_EF_phe_habi_MA;Marine;Function;0;1;0;1;1;0;0;0;0;0;0;0;0;2;model + remote sensing;0;0;EUINS;Ecosystem function;Marine algal blooms;plant;Plant;User & Policy Needs Assessment;300x300m;Real-time, weekly-monthly during the growing season;same as freshwater algal blooms but only harmfull. Why ?
Eco_EF_phe_ppla_MA;Marine;Function;0;1;0;1;1;0;0;0;0;0;0;0;0;2;unknown ;0;0;NA;Ecosystem function;Pheno phytoplankton bloom (marine);plant;Plant;Expert workshop;10x10km - 50x50km;1 year;dates for cyanobacteria blooms
Eco_EF_pro_habi_MA;Marine;Function;0;1;0;1;1;0;0;0;0;0;0;0;0;2;unknown ;0;0;NA;Ecosystem function;Ecosystem productivity (Marine);plant;Plant;Internal review process;1x1km - 10x10km;1 year;microorganisms especially cyanobacteria biomass and productivity functions such as respiration and Carbon fixation. Most likely through remote sensing and modelling
Eco_EF_pro_unsp_TER;Terrestrial;Function;0;1;0;1;1;0;0;0;0;0;0;0;0;2;unknown ;0;0;NA;Ecosystem function;Ecosystem productivity (Terrestrial);plant;Plant;User & Policy Needs Assessment;10x10m - 100x100 m;1 year;Terrestrial biomass for plants and animals. Easy to say, but I dont get how to manage such an apporach. Seems to be far away from reality for me.
Eco_EF_pro_bird_TER;Terrestrial;Function;0;1;0;1;1;0;0;1;0;0;0;0;0;3;remote sensing + model;0;0;NA;Ecosystem function;Bird herbivory;birds;Animal;Comments from participants of the EBV workflows- and WP4/WP5 showcases & co-design workshops;1x1km - 10x10km;3 to 6 years;why only LARGE birds?? Why not to be contemplated with other kinds of herbivory?? It seems to be biommass removed by birds … does it have biological menaning?? Or it should be included in herbivory together with mammals?
Eco_EF_pro_mamm_TER;Terrestrial;Function;0;1;0;1;1;0;0;1;0;0;0;0;0;3;remote sensing + model;0;0;NA;Ecosystem function;Mammal herbivory;mammals;Animal;Comments from participants of the EBV workflows- and WP4/WP5 showcases & co-design workshops;1x1km - 10x10km;3 to 6 years;Only mammals. Does it include wild and domesticated herbivores? Could we differencieate among them? This could be a really meaninful EBV
Eco_EF_dec_unsp_TER;Terrestrial;Function;0;1;0;0;1;0;0;0;0;0;0;0;0;1;fileld;0;0;NA;Ecosystem function;Rate of decomposition;Not applies;Not applies;Comments from participants of the EBV workflows- and WP4/WP5 showcases & co-design workshops;1x1km - 10x10km;3 to 6 years;Just a thoght: what will be the pollution expectations of using plastic bags for this method? Would it have a strong interaction with pollution?
Eco_EF_dtb_fire_TER;Terrestrial;Function;0;1;0;1;1;0;0;0;0;0;0;0;0;2;remote sensing;0;0;EUINS;Ecosystem function;Fire disturbance regime;Not applies;Not applies;Internal review process;10x10m - 100x100m;1 year;nice
Eco_EF_dtb_huma_TER;Terrestrial;Function;0;1;0;1;1;0;0;0;0;0;0;0;0;2;remote sensing;0;0;NA;Ecosystem function;HANPP (Ecosystem disturbance);Not applies;Not applies;Internal review process;100x100m - 1x1km;1 year;nice
Eco_EF_phe_plan_TER;Terrestrial;Function;0;1;0;1;0;0;0;0;0;0;0;0;0;2;remote sensing;0;0;NA;Ecosystem function;Ecosystem phenology (Terrestrial);plant;Plant;User & Policy Needs Assessment;10x10m - 100x100m;1 year;I assume that this will be done through vegetation index, so will be a measurement of greenness. Nice approach for phenology at broad scales. 
Eco_ES_con_habi_FW;Freshwater;Structure;0;0;1;1;1;0;0;0;0;0;0;0;0;2;remote sensing + GIS;0;1;EUINS;Ecosystem structure;River Connectivity;Not applies;Not applies;Internal review process;0.1×0.1km - 1×1km or per river segment;6 years;
Eco_ES_dis_habi_FW;Freshwater;Structure;0;0;1;1;1;0;0;0;0;0;0;0;0;2;model;0;1;EUINS;Ecosystem structure;Ecosys distrib of freshwater EUNIS Habitats;Not applies;Not applies;User & Policy Needs Assessment;100×100m - 1 km×1km;1 year;
Eco_ES_str_habi_FW;Freshwater;Structure;0;0;1;0;1;0;0;1;0;0;0;0;0;2;remote sensing (lidar) + field;0;1;NA;Ecosystem structure;Structural complexity of riparian habitats;plant;Plant;Expert workshop;10×10m (if derived from airborne laser scanning data) 100×100m (modeled from in-situ data);6 years;
Eco_ES_dis_cora_MA;Marine;Structure;0;0;1;1;1;0;0;0;0;0;0;0;0;2;model;0;1;EMODnet Seabed Habitats;Ecosystem structure;Ecosys distrib of hard corals habitats;invertebrates;Animal;Internal review process;10x10m - 300x300m;3 to 6 years;
Eco_ES_dis_malg_MA;Marine;Structure;0;0;1;1;1;0;0;0;0;0;0;0;0;2;remote sensing + model;0;1;EMODnet Seabed Habitats;Ecosystem structure;Ecosys distrib of marine macroalgae canopy cover;plant;Plant;Internal review process;10x10m - 300x300m;3 to 6 years;
Eco_ES_dis_plan_MA;Marine;Structure;0;0;1;1;1;0;0;0;0;0;0;0;0;2;remote sensing + model;0;1;EMODnet Seabed Habitats;Ecosystem structure;Ecosys distrib of marine seagrass habitats;plant;Plant;Internal review process;10x10m - 300x300m;3 to 6 years;
Eco_ES_dis_oyst_MA;Marine;Structure;0;0;1;1;1;0;0;0;0;0;0;0;0;2;remote sensing + model;0;1;NA;Ecosystem structure;Ecosys distrib of oyster reef habitats;invertebrates;Animal;Internal review process;10x10m - 300x300m;3 to 6 years;
Eco_ES_str_plan_TER;Terrestrial;Structure;0;0;1;1;1;0;0;0;0;0;0;0;0;2;remote sensing (lidar);0;1;NA;Ecosystem structure;Vertical structure of vegetation;plant;Plant;Expert workshop;1x1m-10x10m;3 to 6 years;
Eco_ES_dis_habi_TER;Terrestrial;Structure;0;0;1;1;1;0;0;0;0;0;0;0;0;1;model + remote sensing;0;1;EUINS;Ecosystem structure;Ecosys distrib of terrestrial EUNIS Habitats;plant;Plant;User & Policy Needs Assessment;10x10m - 100x100m;1 year;
Eco_ES_con_habi_TER;Terrestrial;Structure;0;0;1;1;1;0;0;0;0;0;0;0;0;2;model + remote sensing;0;1;EUINS;Ecosystem structure;Connectivity of terrestrial ecosystem habitat types;Not applies;Not applies;User & Policy Needs Assessment;10x10m - 100x100 m;1 year;
Eco_ES_bio_habi_TER;Terrestrial;Structure;0;0;1;1;1;0;0;0;0;0;0;0;0;2;field/modeling?;0;1;EUINS;Ecosystem structure;Standing and lying deadwood;plant;Plant;KCBD ad hoc monitoring group meeting;10x10m - 100x100 m;3 to 6 years;
FW;Freshwater;Composition;1;0;0;1;1;0;0;0;0;0;0;1;0;2;field;1;0;NA;Genetic composition;Gen div of freshwater taxa;birds, mammals, reptiles, amphibians;Animal;Internal review process;Sample sites (populations) across the geographic range of selected taxa;10 years;"Based in any threatened taxa in the red list; but the info in the RL is not complete and also a lot of DD. Is it realistic to do for many taxa in different populations?"
Spp_GC_div_unsp_MA;Marine;Composition;1;0;0;1;1;0;0;0;0;0;0;1;0;1;field;1;0;NA;Genetic composition;Gen div of marine taxa;birds, mammals, reptiles;Animal;Internal review process;Sample sites (populations) across the geographic range of selected taxa;10 years;
Spp_GC_div_unsp_TER;Terrestrial;Composition;1;0;0;1;1;0;0;0;0;0;0;1;0;1;field;1;0;NA;Genetic composition;Gen div  of terrestrial taxa;birds, mammals, reptiles, amphibians;Animal;Expert workshop;Sample sites (populations) across the geographic range of selected taxa;10 years;
Spp_ SP_abn_bird_FW;Freshwater;Composition;1;0;0;1;1;0;1;0;0;0;0;0;0;3;field + model;1;0;Birds Directive;Species populations;Sp abund of wetland bird species;birds;Animal;Expert workshop;1x1km -10x10 km (and flyways for migratory);*Wetland birds: 3 to 6 years *Migratory birds: weekly;
Spp_ SP_abn_bird_MA;Marine;Composition;1;0;0;1;1;0;1;0;0;0;0;0;0;3;field + model;1;0;Birds Directive;Species populations;Sp abund of marine bird species;birds;Animal;Expert workshop;1x1km -10x10 km (and flyways for migratory);*Marine birds: 3 to 6 years *Migratory birds: weekly;"Seems that they will try ro moel with data from sciticen science (ebird probably) for weekly survey; but if so sampling effort will be very biased for the season and region."
Spp_ SP_abn_bird_TER;Terrestrial;Composition;1;0;0;1;1;0;1;0;0;0;0;0;0;3;field + model;1;0;Birds Directive;Species populations;Sp abund of  terrestrial bird species;birds;Animal;Expert workshop;1x1km -10x10 km (and flyways for migratory);*Selected terrestrial birds: 1 year *Migratory birds: weekly;
Spp_ SP_dis_fish_FW;Freshwater;Composition;1;0;0;0;0;0;1;0;0;0;0;0;0;1;field / model;1;1;Habitat Directive;Species populations;Sp distrib of freshwater fishes;fish;Animal;User & Policy Needs Assessment;Catchment unit;3 to 6 years;
Spp_ SP_dis_amph_FW;Freshwater;Composition;1;0;0;0;0;0;1;0;0;0;0;0;0;1;field / model;0;0;NA;Species populations;Sp distrib of amphibians;amphibians;Animal;User & Policy Needs Assessment;10×10km - 50×50km;3 to 6 years;
Spp_ SP_dis_mamm_FW;Freshwater;Composition;1;0;0;0;0;0;1;0;0;0;0;0;0;1;field / model;0;1;Habitat Directive;Species populations;Sp distrib of freshwater mammals;mammals;Animal;User & Policy Needs Assessment;10x10km - 50x50km;3 to 6 years;
Spp_ SP_dis_inve_FW;Freshwater;Composition;1;0;0;0;0;0;1;0;0;0;0;0;0;1;field / model;1;1;Habitat Directive;Species populations;Sp disturb of freshwater invertebrates;invertebrates;Animal;Internal review process;1x1km;1 year;
Spp_ SP_dis_inse_FW;Freshwater;Composition;1;0;0;0;0;0;1;0;0;0;0;0;0;1;field / model;1;0;NA;Species populations;Sp distrib of dragonflies;invertebrates;Animal;Comments from participants of the EBV workflows- and WP4/WP5 showcases & co-design workshops;10x10km;1 year;based on the new red list assesement of 147 species. Presence absence
Spp_ SP_dis_mphy_FW;Freshwater;Composition;1;0;0;0;0;0;1;0;0;0;0;0;0;1;field / model;0;1;ECRINS;Species populations;Sp distrib of freshwater macrophytes;plant;Plant;Internal review process;ECRINS units between fundamental catchment units and sub-basins (Level 2), and ECRINS lakes;3 to 6 years;
Spp_ SP_dis_alie_FW;Freshwater;Composition;1;0;0;0;0;0;1;0;0;0;0;0;0;1;field / model;0;1;Consolidated List of Invasive Alien Species of Union Concern;Species populations;Sp distrib of invasive freshwater taxa;ANY;ANY;User & Policy Needs Assessment;ECRINS units between fundamental catchment units and sub-basins (Level 2), and ECRINS lakes;3 to 6 years;
Spp_ SP_dis_fish_MA;Marine;Composition;1;0;0;0;0;0;1;0;0;0;0;0;0;1;field / model;0;0;Review and analysis of Member States’ 2018 reports;Species populations;Sp distrib of marine fishes;fish;Animal;User & Policy Needs Assessment;50x50km - 200x200km;3 to 6 years;
Spp_ SP_abn_fish_MA;Marine;Composition;1;0;0;0;0;0;1;0;0;0;0;0;0;1;model;0;0;regulation (EC) No 520/2007;Species populations;Sp abund of marine commercial fish species and long-distance migratory fishes;fish;Animal;User & Policy Needs Assessment;50x50km - 200x200km;1 year;
Spp_ SP_dis_bird_MA;Marine;Composition;1;0;0;0;0;0;1;0;0;0;0;0;0;1;field / model;0;0;Review and analysis of Member States’ 2018 reports;Species populations;Sp distrib of marine birds;birds;Animal;User & Policy Needs Assessment;10x10km - 50x50km;3 to 6 years;
Spp_ SP_dis_mamm_MA;Marine;Composition;1;0;0;0;0;0;1;0;0;0;0;0;0;1;field / model;0;0;Review and analysis of Member States’ 2018 reports;Species populations;Sp distrib of marine mammals;mammals;Animal;User & Policy Needs Assessment;10x10km - 50x50km;3 to 6 years;
Spp_ SP_dis_rept_MA;Marine;Composition;1;0;0;0;0;0;1;0;0;0;0;0;0;1;field / model;0;1;Habitat Directive and Review and analysis of Member States’ 2018 reports Descriptor 1: Species biological diversity;Species populations;Sp distrib of marine turtles;reptiles;Animal;User & Policy Needs Assessment;10x10km - 50x50km;3 to 6 years;
Spp_ SP_dis_inve_MA;Marine;Composition;1;0;0;0;0;0;1;0;0;0;0;0;0;1;field / model;0;0;Review and analysis of Member States’ 2018 reports;Species populations;Sp distrib of benthic marine invertebrates;invertebrates;Animal;Internal review process;10x10km - 50x50km;1 year;
Spp_ SP_dis_alie_MA;Marine;Composition;1;0;0;0;0;0;1;0;0;0;0;0;0;1;field / model;0;0;Consolidated List of Invasive Alien Species of Union Concern;Species populations;Sp distrib of invasive alien marine taxa of European concern;plant;Plant;User & Policy Needs Assessment;1x1km - 10x10km;3 to 6 years;
Spp_ SP_dis_bird_TER;Terrestrial;Composition;1;0;0;0;0;0;1;0;0;0;0;0;0;1;field / model;0;0;NA;Species populations;Sp distrib of terrestrial birds;birds;Animal;User & Policy Needs Assessment;1x1km - 10x10km;3 to 6 years;Based on all eu species in the Handbook of Birds of the world 
Spp_ SP_abn_mamm_TER;Terrestrial;Composition;1;0;0;0;0;0;1;0;0;0;0;0;0;1;field / model;1;0;Eurobats;Species populations;Sp abund of terrestrial mammals;mammals;Animal;User & Policy Needs Assessment;1x1km - 10x10km;1 year;Baseed on abundance of European terrestrial Carnivora, Artiodactyla and Chiroptera species but all other taxa leaved aside. Where are the micrommamals of huge importance and highly impacted by humans?? Abundances of micrommammals may be a very good indicator.
Spp_ SP_dis_mamm_TER;Terrestrial;Composition;1;0;0;0;0;0;1;0;0;0;0;0;0;1;field / model;1;0;NA;Species populations;Sp distrib of all terrestrial mammals;mammals;Animal;User & Policy Needs Assessment;10x10km - 50x50km;3 to 6 years;Based on red list of terrestrial mammals
Spp_ SP_dis_rept_TER;Terrestrial;Composition;1;0;0;0;0;0;1;0;0;0;0;0;0;1;field / model;1;0;NA;Species populations;Sp distrib of terrestrial reptiles;reptiles;Animal;User & Policy Needs Assessment;1x1km - 10x10km;3 to 6 years;
Spp_ SP_dis_rept_FW;Freshwater;Composition;1;0;0;0;0;0;1;0;0;0;0;0;0;1;field / model;1;0;NA;Species populations;Sp distrib of freshwater reptiles;reptiles;Animal;User & Policy Needs Assessment;1x1km - 10x10km;3 to 6 years;
Spp_ SP_abn_inse_TER;Terrestrial;Composition;1;0;0;0;0;0;1;1;0;0;0;0;0;2;field / model;0;0;NA;Species populations;Sp abund of butterflies;invertebrates;Animal;User & Policy Needs Assessment;10x10km - 50x50km;1 year;
Spp_ SP_dis_inve_TER;Terrestrial;Composition;1;0;0;0;0;0;1;1;0;0;0;0;0;2;field / model;1;1;Habitat Directive and EUPoMS;Species populations;Sp distrib of terrestrial key invertebrates (pollin);invertebrates;Animal;Internal review process;10x10km - 50x50km;3 to 6 years;
Spp_ SP_dis_plan_TER;Terrestrial;Composition;1;0;0;0;0;0;1;1;0;0;0;0;0;2;field / model;1;1;EU-Trees4F;Species populations;Sp distrib of selected terrestrial plants;plant;Plant;User & Policy Needs Assessment/ Expert workshop;1×1km – 10×10km;3 or 6 years;"Only vascular plants; why not other plants? That seems biased…other plants such as ferns or mosses can be ov enormous value for biodiversity."
Spp_ SP_dis_lich_TER;Terrestrial;Composition;1;0;0;0;0;0;1;0;0;0;0;0;0;1;field / model;1;1;POPLAIR;Species populations;Sp distrib of lichens (as indicators of pollution);fungi-plant;Fungi;Expert workshop;10x10km - 50x50km;3 to 6 years;Very green method. Not standardised neither tested and published
Spp_ SP_dis_alie_TER;Terrestrial;Composition;1;0;0;0;0;0;1;0;0;0;0;0;0;1;field / model;0;0;NA;Species populations;Sp distrib of invasive alien terrestrial taxa of European concern;ANY;ANY;User & Policy Needs Assessment;1x1km - 10x10km;3 to 6 years;
Spp_ SP_abn_dise_TER;Terrestrial;Composition;1;0;0;0;0;0;1;0;0;0;0;0;0;1;field / model;0;0;Eurpean Centre for Desease Prevention and Control;Species populations;Sp abund of terrestrial animal disease vectors;invertebrates;Animal;User & Policy Needs Assessment;10x10km - 50x50km;daily - yearly;
Spp_ SP_abn_pest_TER;Terrestrial;Composition;1;0;0;0;0;0;1;0;0;0;0;0;0;1;field / model;0;0;Eurpean Centre for Desease Prevention and Control;Species populations;Sp abund of terrestrial crop and forest pests;invertebrates;Animal;User & Policy Needs Assessment;100x100m - 1x1km;daily - yearly;
Spp_ST_phe_bird_FW;Freshwater;Function;0;1;0;0;0;0;1;0;0;0;0;0;0;1;field;0;0;NA;Species traits;Pheno of migration of wetland birds;birds;Animal;Expert workshop;"10x10km; and migratory flyways";1 week (traits derived from weekly distribution data);
Spp_ST_phe_fish_FW;Freshwater;Function;0;1;0;0;0;0;1;0;0;0;0;0;0;1;field;0;0;NA;Species traits;Pheno of migration of freshwater fishes;fish;Animal;Comments from participants of the EBV workflows- and WP4/WP5 showcases & co-design workshops;ECRINS spatial units between fundamental catchment units and L2.;1 year;
Spp_ST_phe_bird_MA;Marine;Function;0;1;0;0;0;0;1;0;0;0;0;0;0;1;field;1;0;NA;Species traits;Pheno of migration of marine birds;birds;Animal;Expert workshop;"10x10km - 50x50km; and migratory flyways";1 year;
Spp_ST_phe_mamm_MA;Marine;Function;0;1;0;0;0;0;1;0;0;0;0;0;0;1;field;0;0;NA;Species traits;Pheno of migration of migratory marine mammals;mammals;Animal;Expert workshop;10x10km - 50x50km;1 year;
Spp_ST_phe_fish_MA;Marine;Function;0;1;0;0;0;0;1;0;0;0;0;0;0;1;field;0;0;regulation (EC) No 520/2007;Species traits;Pheno of migration of migratory marine fish;fish;Animal;Expert workshop;10x10km - 50x50km;1 year;datos desagregados por estado de ciclo de vida…parece demasiado dificil de conseguir?
Spp_ST_phe_fung_TER;Terrestrial;Function;0;1;0;0;0;0;1;0;0;0;0;0;0;1;field;0;0;NA;Species traits;Pheno of fructification of mushrooms;fungi;Fungi;User & Policy Needs Assessment;1x1km - 10x10km;1 week;Wild mushrooms of comercial or recreational sigbnificance. Definidos dónde?? Es necesario crear esa lista de especies para acotar, estandarizar y hace r comparable resultados 
Spp_ST_phe_frui_TER;Terrestrial;Function;0;1;0;0;0;0;1;0;0;0;0;0;0;1;field/model;0;0;NA;Species traits;Pheno of fructification of wild fruits;plant;Plant;User & Policy Needs Assessment;1x1km - 10x10km;1 week;Species shold be defined
Spp_ST_phe_plan_TER;Terrestrial;Function;0;1;0;0;0;0;1;0;0;0;0;0;0;1;remote sensing;0;0;NA;Species traits;Pheno of flowering and leaf senescence;plant;Plant;User & Policy Needs Assessment;10x10km - 50x50km;1 year;Which method? Remote sensing?
Spp_ST_phe_bird_TER;Terrestrial;Function;0;1;0;0;0;0;1;0;0;0;0;0;0;1;field;1;0;NA;Species traits;Pheno of migration of terrestrial birds;birds;Animal;Expert workshop;"10x10km - 50x50km; and migratory flyways";1 year;
Spp_ST_phe_inse_TER;Terrestrial;Function;0;1;0;0;0;0;1;0;0;0;0;0;0;1;field;0;1;Habitat Directive;Species traits;Pheno of the emergence of butterflies and time of arrival of migratory butterflies;invertebrates;Animal;Expert workshop;10x10km - 50x50km;1 year;
